15:07:02.667[localhost-startStop-1][INFO ]Init DruidDataSource  c.a.d.s.b.a.DruidDataSourceAutoConfigure.dataSource:56
15:07:03.132[localhost-startStop-1][INFO ]{dataSource-1} inited  c.a.d.p.DruidDataSource.init:923
15:07:05.454[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
15:07:08.612[localhost-startStop-1][INFO ]Reading from activiti.DATABASECHANGELOG  liquibase.info:92
15:07:08.713[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
15:07:09.148[localhost-startStop-1][INFO ]Building JPA container EntityManagerFactory for persistence unit 'default'  o.s.o.j.LocalContainerEntityManagerFactoryBean.createNativeEntityManagerFactory:361
15:07:10.765[localhost-startStop-1][INFO ]Initialized JPA EntityManagerFactory for persistence unit 'default'  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:394
15:07:11.282[localhost-startStop-1][INFO ]Found 2 Process Engine Configurators in total:  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1406
15:07:11.282[localhost-startStop-1][INFO ]class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1408
15:07:11.282[localhost-startStop-1][INFO ]class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1408
15:07:11.282[localhost-startStop-1][INFO ]Executing beforeInit() of class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsBeforeInit:1418
15:07:11.600[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
15:07:11.640[localhost-startStop-1][INFO ]Reading from activiti.ACT_FO_DATABASECHANGELOG  liquibase.info:92
15:07:11.711[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
15:07:12.132[localhost-startStop-1][INFO ]FormEngine default created  o.a.f.e.i.FormEngineImpl.<init>:44
15:07:12.132[localhost-startStop-1][INFO ]Executing beforeInit() of class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsBeforeInit:1418
15:07:12.348[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
15:07:12.395[localhost-startStop-1][INFO ]Reading from activiti.ACT_DMN_DATABASECHANGELOG  liquibase.info:92
15:07:12.479[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
15:07:12.564[localhost-startStop-1][INFO ]DmnEngine default created  o.a.d.e.i.DmnEngineImpl.<init>:44
15:07:13.247[localhost-startStop-1][INFO ]Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory.createActiviti5CompatibilityHandler:38
15:07:13.247[localhost-startStop-1][INFO ]Executing configure() of class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsAfterInit:1425
15:07:13.247[localhost-startStop-1][INFO ]Executing configure() of class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsAfterInit:1425
15:07:13.294[localhost-startStop-1][INFO ]ProcessEngine default created  o.a.e.i.ProcessEngineImpl.<init>:87
15:07:13.294[localhost-startStop-1][INFO ]Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].  o.a.e.i.a.DefaultAsyncJobExecutor.start:169
15:07:13.294[Thread-9][INFO ]{} starting to acquire async jobs due  o.a.e.i.a.AcquireTimerJobsRunnable.run:49
15:07:13.294[Thread-10][INFO ]{} starting to reset expired jobs  o.a.e.i.a.ResetExpiredJobsRunnable.run:51
15:07:13.294[Thread-8][INFO ]{} starting to acquire async jobs due  o.a.e.i.a.AcquireAsyncJobsDueRunnable.run:45
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'characterEncodingFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'errorPageFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'hiddenHttpMethodFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'httpPutFormContentFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'openEntityManagerInViewFilter' to urls: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:256
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'requestContextFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'springSecurityFilterChain' to: [/*]  o.s.b.w.s.DelegatingFilterProxyRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'httpTraceFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'webStatFilter' to urls: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:256
15:07:14.071[localhost-startStop-1][INFO ]Mapping filter: 'webMvcMetricsFilter' to: [/*]  o.s.b.w.s.FilterRegistrationBean.configure:243
15:07:14.071[localhost-startStop-1][INFO ]Servlet api mapped to [/api/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
15:07:14.071[localhost-startStop-1][INFO ]Servlet app mapped to [/app/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
15:07:14.071[localhost-startStop-1][INFO ]Servlet dispatcherServlet mapped to [/]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
15:07:14.071[localhost-startStop-1][INFO ]Servlet statViewServlet mapped to [/druid/*]  o.s.b.w.s.ServletRegistrationBean.addRegistration:185
15:07:15.969[localhost-startStop-1][INFO ]Using file-system based content storage (data/)  o.a.a.c.ContentStorageConfiguration.contentStorage:53
15:07:15.969[localhost-startStop-1][INFO ]File system root : D:\ProjectCode\projmgnt-workflow\data  o.a.a.c.ContentStorageConfiguration.contentStorage:63
15:07:16.595[localhost-startStop-1][INFO ]SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@43c8c0fc: startup date [Fri Oct 26 15:06:58 CST 2018]; root of context hierarchy] and template loader path [classpath:/email-templates/]  o.s.u.f.SpringTemplateLoader.<init>:62
15:07:16.917[localhost-startStop-1][INFO ]Creating filter chain: Ant [pattern='/api/**'], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@512fbd54, org.springframework.security.web.context.SecurityContextPersistenceFilter@7fcc3edb, org.springframework.security.web.header.HeaderWriterFilter@64b2005, org.springframework.security.web.authentication.logout.LogoutFilter@7e4cc880, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5980ff4b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1f35bbf6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3375de02, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e5777b8, org.springframework.security.web.session.SessionManagementFilter@6199ded8, org.springframework.security.web.access.ExceptionTranslationFilter@42d8715a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@49cd318]  o.s.s.w.DefaultSecurityFilterChain.<init>:43
15:07:16.948[localhost-startStop-1][INFO ]Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@78e9ee17, org.springframework.security.web.context.SecurityContextPersistenceFilter@47df28db, org.springframework.security.web.header.HeaderWriterFilter@d3dba8c, org.springframework.security.web.authentication.logout.LogoutFilter@7322f0ca, org.activiti.app.web.CustomUsernamePasswordAuthenticationFilter@69d6e00d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@567eb497, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36f78d0e, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@4d858785, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66dc75a1, org.springframework.security.web.session.SessionManagementFilter@1a0be371, org.springframework.security.web.access.ExceptionTranslationFilter@1450ac03, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f60268d]  o.s.s.w.DefaultSecurityFilterChain.<init>:43
15:07:17.374[localhost-startStop-1][INFO ]Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@43c8c0fc: startup date [Fri Oct 26 15:06:58 CST 2018]; root of context hierarchy  o.s.w.s.m.m.a.RequestMappingHandlerAdapter.initControllerAdviceCache:567
15:07:17.515[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/model],methods=[GET],produces=[application/json]}" onto public org.activiti.bpmn.model.BpmnModel org.activiti.rest.service.api.repository.ProcessDefinitionModelResource.getModelResource(java.lang.String)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.523[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/resourcedata],methods=[GET]}" onto public byte[] org.activiti.rest.service.api.repository.ProcessDefinitionResourceDataResource.getProcessDefinitionResource(java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.526[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments/{deploymentId}],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.DeploymentResponse org.activiti.rest.service.api.repository.DeploymentResource.getDeployment(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.526[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments/{deploymentId}],methods=[DELETE],produces=[application/json]}" onto public void org.activiti.rest.service.api.repository.DeploymentResource.deleteDeployment(java.lang.String,java.lang.Boolean,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.526[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/image],methods=[GET]}" onto public org.springframework.http.ResponseEntity<byte[]> org.activiti.rest.service.api.repository.ProcessDefinitionImageResource.getModelResource(java.lang.String)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.526[localhost-startStop-1][INFO ]Mapped "{[/repository/models],methods=[POST],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.ModelResponse org.activiti.rest.service.api.repository.ModelCollectionResource.createModel(org.activiti.rest.service.api.repository.ModelRequest,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.526[localhost-startStop-1][INFO ]Mapped "{[/repository/models],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.common.api.DataResponse org.activiti.rest.service.api.repository.ModelCollectionResource.getModels(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.534[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/identitylinks],methods=[POST],produces=[application/json]}" onto public org.activiti.rest.service.api.engine.RestIdentityLink org.activiti.rest.service.api.repository.ProcessDefinitionIdentityLinkCollectionResource.createIdentityLink(java.lang.String,org.activiti.rest.service.api.engine.RestIdentityLink,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.536[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/identitylinks],methods=[GET],produces=[application/json]}" onto public java.util.List<org.activiti.rest.service.api.engine.RestIdentityLink> org.activiti.rest.service.api.repository.ProcessDefinitionIdentityLinkCollectionResource.getIdentityLinks(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.536[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}],methods=[PUT],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.ProcessDefinitionResponse org.activiti.rest.service.api.repository.ProcessDefinitionResource.executeProcessDefinitionAction(java.lang.String,org.activiti.rest.service.api.repository.ProcessDefinitionActionRequest,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.544[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.ProcessDefinitionResponse org.activiti.rest.service.api.repository.ProcessDefinitionResource.getProcessDefinition(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.546[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments],methods=[POST],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.DeploymentResponse org.activiti.rest.service.api.repository.DeploymentCollectionResource.uploadDeployment(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.546[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.common.api.DataResponse org.activiti.rest.service.api.repository.DeploymentCollectionResource.getDeployments(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.546[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}/source],methods=[PUT]}" onto protected void org.activiti.rest.service.api.repository.ModelSourceResource.setModelSource(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.546[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}/source],methods=[GET]}" onto protected byte[] org.activiti.rest.service.api.repository.ModelSourceResource.getModelBytes(java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/identitylinks/{family}/{identityId}],methods=[DELETE]}" onto public void org.activiti.rest.service.api.repository.ProcessDefinitionIdentityLinkResource.deleteIdentityLink(java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/process-definitions/{processDefinitionId}/identitylinks/{family}/{identityId}],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.engine.RestIdentityLink org.activiti.rest.service.api.repository.ProcessDefinitionIdentityLinkResource.getIdentityLink(java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments/{deploymentId}/resources/**],methods=[GET],produces=[application/json]}" onto public org.activiti.rest.service.api.repository.DeploymentResourceResponse org.activiti.rest.service.api.repository.DeploymentResourceResource.getDeploymentResource(java.lang.String,javax.servlet.http.HttpServletRequest)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}/source-extra],methods=[PUT]}" onto protected void org.activiti.rest.service.api.repository.ModelSourceExtraResource.setModelSource(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/models/{modelId}/source-extra],methods=[GET]}" onto protected byte[] org.activiti.rest.service.api.repository.ModelSourceExtraResource.getModelBytes(java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
15:07:17.556[localhost-startStop-1][INFO ]Mapped "{[/repository/deployments/{deploymentId}/resourcedata/{resourceName}],methods=[GET]}" onto public byte[] org.activiti.rest.service.api.repository.DeploymentResourceDataResource.getDeploymentResource(java.lang.String,java.lang.String,javax.servlet.http.HttpServletResponse)  o.s.w.s.m.m.a.RequestMappingHandlerMapping.register:548
