16:57:15.784[localhost-startStop-1][INFO ]Init DruidDataSource  c.a.d.s.b.a.DruidDataSourceAutoConfigure.dataSource:56
16:57:16.166[localhost-startStop-1][INFO ]{dataSource-1} inited  c.a.d.p.DruidDataSource.init:923
16:57:18.161[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
16:57:19.283[localhost-startStop-1][INFO ]Creating database history table with name: activiti.DATABASECHANGELOG  liquibase.info:92
16:57:19.677[localhost-startStop-1][INFO ]Reading from activiti.DATABASECHANGELOG  liquibase.info:92
16:57:20.067[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table hibernate_sequences created  liquibase.info:92
16:57:20.406[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_IDM_PERSISTENT_TOKEN created  liquibase.info:92
16:57:20.722[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_DE_MODEL created  liquibase.info:92
16:57:21.193[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index idx_proc_mod_created created  liquibase.info:92
16:57:21.494[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_DE_MODEL_HISTORY created  liquibase.info:92
16:57:21.694[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index idx_proc_mod_history_proc created  liquibase.info:92
16:57:22.174[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_WO_COMMENTS created  liquibase.info:92
16:57:22.375[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index comment_task_created created  liquibase.info:92
16:57:22.560[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index comment_proc_created created  liquibase.info:92
16:57:22.898[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_WO_RELATED_CONTENT created  liquibase.info:92
16:57:23.246[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index idx_relcont_createdby created  liquibase.info:92
16:57:23.447[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index idx_relcont_taskid created  liquibase.info:92
16:57:23.647[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Index idx_relcont_procid created  liquibase.info:92
16:57:24.049[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Table ACT_DE_MODEL_RELATION created  liquibase.info:92
16:57:24.952[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Foreign key constraint added to ACT_DE_MODEL_RELATION (parent_model_id)  liquibase.info:92
16:57:25.907[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: Foreign key constraint added to ACT_DE_MODEL_RELATION (model_id)  liquibase.info:92
16:57:25.907[localhost-startStop-1][INFO ]classpath:/META-INF/liquibase/activiti-app-db-changelog.xml: classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti: ChangeSet classpath:/META-INF/liquibase/activiti-app-db-changelog.xml::1::activiti ran successfully in 6189ms  liquibase.info:92
16:57:26.140[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
16:57:26.472[localhost-startStop-1][INFO ]Building JPA container EntityManagerFactory for persistence unit 'default'  o.s.o.j.LocalContainerEntityManagerFactoryBean.createNativeEntityManagerFactory:361
16:57:29.092[localhost-startStop-1][INFO ]Initialized JPA EntityManagerFactory for persistence unit 'default'  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:394
16:57:29.571[localhost-startStop-1][INFO ]Found 2 Process Engine Configurators in total:  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1406
16:57:29.571[localhost-startStop-1][INFO ]class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1408
16:57:29.571[localhost-startStop-1][INFO ]class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.initConfigurators:1408
16:57:29.571[localhost-startStop-1][INFO ]Executing beforeInit() of class org.activiti.form.engine.configurator.FormEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsBeforeInit:1418
16:57:30.301[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
16:57:30.332[localhost-startStop-1][INFO ]Creating database history table with name: activiti.ACT_FO_DATABASECHANGELOG  liquibase.info:92
16:57:30.633[localhost-startStop-1][INFO ]Reading from activiti.ACT_FO_DATABASECHANGELOG  liquibase.info:92
16:57:31.081[localhost-startStop-1][INFO ]org/activiti/form/db/liquibase/activiti-form-db-changelog.xml: org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti: Table ACT_FO_FORM_DEPLOYMENT created  liquibase.info:92
16:57:31.404[localhost-startStop-1][INFO ]org/activiti/form/db/liquibase/activiti-form-db-changelog.xml: org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti: Table ACT_FO_FORM_RESOURCE created  liquibase.info:92
16:57:31.737[localhost-startStop-1][INFO ]org/activiti/form/db/liquibase/activiti-form-db-changelog.xml: org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti: Table ACT_FO_FORM_DEFINITION created  liquibase.info:92
16:57:32.168[localhost-startStop-1][INFO ]org/activiti/form/db/liquibase/activiti-form-db-changelog.xml: org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti: Table ACT_FO_SUBMITTED_FORM created  liquibase.info:92
16:57:32.168[localhost-startStop-1][INFO ]org/activiti/form/db/liquibase/activiti-form-db-changelog.xml: org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti: ChangeSet org/activiti/form/db/liquibase/activiti-form-db-changelog.xml::1::activiti ran successfully in 1520ms  liquibase.info:92
16:57:32.300[localhost-startStop-1][INFO ]Successfully released change log lock  liquibase.info:92
16:57:32.685[localhost-startStop-1][INFO ]FormEngine default created  o.a.f.e.i.FormEngineImpl.<init>:44
16:57:32.685[localhost-startStop-1][INFO ]Executing beforeInit() of class org.activiti.dmn.engine.configurator.DmnEngineConfigurator (priority:10000)  o.a.e.i.c.ProcessEngineConfigurationImpl.configuratorsBeforeInit:1418
16:57:33.387[localhost-startStop-1][INFO ]Successfully acquired change log lock  liquibase.info:92
16:57:33.402[localhost-startStop-1][INFO ]Creating database history table with name: activiti.ACT_DMN_DATABASECHANGELOG  liquibase.info:92
16:57:33.688[localhost-startStop-1][INFO ]Reading from activiti.ACT_DMN_DATABASECHANGELOG  liquibase.info:92
16:57:34.274[localhost-startStop-1][INFO ]org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml: org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml::1::activiti: Table ACT_DMN_DEPLOYMENT created  liquibase.info:92
16:57:34.745[localhost-startStop-1][INFO ]org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml: org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml::1::activiti: Table ACT_DMN_DEPLOYMENT_RESOURCE created  liquibase.info:92
16:57:35.193[localhost-startStop-1][INFO ]org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml: org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml::1::activiti: Table ACT_DMN_DECISION_TABLE created  liquibase.info:92
16:57:35.193[localhost-startStop-1][INFO ]org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml: org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml::1::activiti: ChangeSet org/activiti/dmn/db/liquibase/activiti-dmn-db-changelog.xml::1::activiti ran successfully in 1505ms  liquibase.info:92
